docname	wiki	rank
anti_americanism_3.html	Anti-Americanism	1
anti_americanism_3.html	Arab–American_relations	2
anti_americanism_3.html	Fouad_Ajami	3
anti_americanism_3.html	Israel–United_States_relations	4
anti_americanism_3.html	International_response_to_the_reactions_to_Innocence_of_Muslims	5
anti_americanism_3.html	American_Jewish_Committee	6
anti_americanism_3.html	Nathan_Gonzalez	7
anti_americanism_3.html	Arab_lobby_in_the_United_States	8
anti_americanism_3.html	Canada–United_States_relations	9
anti_americanism_3.html	List_of_organizations_designated_by_the_Southern_Poverty_Law_Center_as_anti-gay_hate_groups	10
anti_americanism_3.html	Does_the_World_Hate_the_United_States?	11
anti_americanism_3.html	Daniel_Pipes	12
anti_americanism_3.html	New_antisemitism	13
anti_americanism_3.html	Anti-American_sentiment_in_Pakistan	14
anti_americanism_3.html	Anti-Israel_lobby_in_the_United_States	15
anti_americanism_3.html	Hating_America:_The_New_World_Sport	16
anti_americanism_3.html	Charles_W._Freeman,_Jr.	17
anti_americanism_3.html	Obama_Doctrine	18
anti_americanism_3.html	United_Kingdom–United_States_relations	19
anti_americanism_3.html	France–United_States_relations	20
anti_americanism_10.html	Anti-Americanism	1
anti_americanism_10.html	American_imperialism	2
anti_americanism_10.html	National-Anarchism	3
anti_americanism_10.html	American_exceptionalism	4
anti_americanism_10.html	Anti-American_sentiment_in_Russia	5
anti_americanism_10.html	Westernization	6
anti_americanism_10.html	Stereotypes_of_Americans	7
anti_americanism_10.html	Anti-imperialism	8
anti_americanism_10.html	Wikipedia:Articles_for_deletion/Anti-Americanism_in_the_United_States	9
anti_americanism_10.html	Anti-American_sentiment_in_Korea	10
anti_americanism_10.html	Canada–United_States_relations	11
anti_americanism_10.html	Antisemitism_in_the_anti-globalization_movement	12
anti_americanism_10.html	Arab–American_relations	13
anti_americanism_10.html	Arab_lobby_in_the_United_States	14
anti_americanism_10.html	Busan_American_Cultural_Service_building_arson	15
anti_americanism_10.html	Sino-American_relations	16
anti_americanism_10.html	Index_of_United_States-related_articles	17
anti_americanism_10.html	France–United_States_relations	18
anti_americanism_10.html	Foundations_of_Geopolitics	19
anti_americanism_10.html	File:Liberators-Kultur-Terror-Anti-Americanism-1944-Nazi-Propaganda-Poster.jpg	20
anti_americanism_8.html	Dinesh_D'Souza	1
anti_americanism_8.html	Nick_Adams_(political_author_speaker)	2
anti_americanism_8.html	Cultural_conservatism	3
anti_americanism_8.html	Cultural_cringe	4
anti_americanism_8.html	It's_My_Country_Too:_Muslim_Americans	5
anti_americanism_8.html	Cultural_appropriation	6
anti_americanism_8.html	Conservatism_in_Australia	7
anti_americanism_8.html	World_Vision_Australia	8
anti_americanism_8.html	David_Brooks_(journalist)	9
anti_americanism_8.html	Fiji_national_football_team_results	10
anti_americanism_8.html	Criticism_of_multiculturalism	11
anti_americanism_8.html	Outline_of_the_September_11_attacks	12
anti_americanism_8.html	Criticism_of_postmodernism	13
