source	user	time	url	selected text	rating
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Monroe_College		4
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Scientology		2
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Sarah_Palin		2
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Douglas_Adams		4
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Oil_spill		2
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Holiest_sites_in_Islam		2
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Enola_Gay		1
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Ian_Paisley		1
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/American_Chinese_cuisine		4
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Hezbollah		1
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Vaccine_controversy		2
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/shoplifting		2
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Falun_Gong		1
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Warren_Buffett		4
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Palestinian_National_Authority		1
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Podcast		4
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Shenzhen_Airport		4
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Julia_Roberts		4
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Barack_Obama		4
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/George_Orwell		4
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/The_Hobbit		4
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Hustle_(dance)		4
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Mary_Poppins		4
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Public_light_bus		4
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Radiation_therapy		3
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Iain_Lee		4
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/homeopathy		2
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/bread		4
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Sammy_Wilson		4
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Republican_Party_(United_States)		2
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/14th_Dalai_Lama		4
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Second_Intifada		1
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Ethylene_oxide		4
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Witch-hazel		4
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Alternative_cancer_treatments		2
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Solar_System		4
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Same-sex_marriage		2
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Emma_Watson		4
shiri	unknown user	unknown time	http://en.wikipedia.org/wiki/Waltz		4
